,eng_name,locale_code,name,using_countries
0,Turkish,tr,Türkçe,[CY]
1,English,en,English,[DG]
2,French,fr,français,[GN]
3,Dutch,nl,Nederlands,[CW]
4,French,fr,français,[KM]
5,Arabic,ar,العربية,[OM]
6,Bosnian (Latin),bs_Latn,bosanski (latinica),[BA]
7,Arabic,ar,العربية,[MR]
8,Spanish,es,español,[GQ]
9,French,fr,français,[PF]
10,Armenian,hy,հայերեն,[AM]
11,Dutch,nl,Nederlands,[BE]
12,Quechua,qu,Runasimi,[BO]
13,Spanish,es,español,[PY]
14,Shona,sn,chiShona,[ZW]
15,English,en,English,[JM]
16,Tigrinya,ti,ትግርኛ,[ET]
17,English,en,English,[KI]
18,Fulah,ff,Pulaar,[GN]
19,English,en,English,[SX]
20,Russian,ru,русский,[RU]
21,English,en,English,[SZ]
22,Punjabi (Arabic),pa_Arab,پنجابی (عربی),[PK]
23,Oromo,om,Oromoo,[KE]
24,English,en,English,[GH]
25,Arabic,ar,العربية,"[TD, LB]"
26,Tamil,ta,தமிழ்,[MY]
27,Catalan,ca,català,[IT]
28,Arabic,ar,العربية,[AE]
29,Estonian,et,eesti,[EE]
30,Tamil,ta,தமிழ்,[LK]
31,Arabic,ar,العربية,[BH]
32,Northern Sami,se,davvisámegiella,[NO]
33,French,fr,français,[HT]
34,Spanish,es,español,[SV]
35,Dutch,nl,Nederlands,[BQ]
36,English,en,English,"[DE, GI, FM]"
37,Malay,ms,Bahasa Melayu,[SG]
38,Turkish,tr,Türkçe,[TR]
39,Uzbek (Arabic),uz_Arab,اوزبیک (عربی),[AF]
40,Serbian (Latin),sr_Latn,srpski (latinica),[BA]
41,English,en,English,"[PW, SL, SH]"
42,Chinese (Traditional),zh_Hant,中文 (繁體),[HK]
43,English,en,English,[KY]
44,Russian,ru,русский,[KG]
45,Lao,lo,ລາວ,[LA]
46,English,en,English,[KN]
47,Serbian (Latin),sr_Latn,srpski (latinica),[XK]
48,English,en,English,"[ER, FI, GM]"
49,Yoruba,yo,Èdè Yorùbá,[BJ]
50,Kinyarwanda,rw,Kinyarwanda,[RW]
51,Khmer,km,ខ្មែរ,[KH]
52,Gujarati,gu,ગુજરાતી,[IN]
53,Catalan,ca,català,[ES]
